Country_Name,Country_Code,Time,Time_Code,GDP,Exports,Imports,CO2_GDP,CO2_percapita
Albania,ALB,1996,YR1996,3199640826.00000,11.62033,33.27511,0.38028,0.62121
Albania,ALB,1997,YR1997,2258513974.00000,10.19713,35.22843,0.32086,0.46983
Albania,ALB,1998,YR1998,2545964541.00000,11.46717,36.67037,0.35968,0.57680
Albania,ALB,1999,YR1999,3212121651.00000,16.84176,34.16927,0.52709,0.96030
Albania,ALB,2000,YR2000,3480355258.00000,20.11529,43.33879,0.52607,1.03157
Albania,ALB,2001,YR2001,3922100794.00000,21.33341,45.15761,0.49305,1.05687
Albania,ALB,2002,YR2002,4348068242.00000,20.94562,47.57945,0.54861,1.23300
Albania,ALB,2003,YR2003,5611496257.00000,20.84739,46.17317,0.57176,1.36116
Albania,ALB,2004,YR2004,7184685782.00000,22.21756,44.82963,0.56609,1.42794
Albania,ALB,2005,YR2005,8052077209.00000,23.01299,47.85936,0.50835,1.36009
Albania,ALB,2006,YR2006,8896074996.00000,25.20961,49.05748,0.47836,1.36399
Albania,ALB,2007,YR2007,10677324873.00000,28.24787,54.95421,0.47089,1.43380
Albania,ALB,2008,YR2008,12881352878.00000,25.30242,52.14933,0.43300,1.42825
Albania,ALB,2009,YR2009,12044205572.00000,25.24075,49.85417,0.43474,1.49212
Albania,ALB,2010,YR2010,11926926654.00000,27.97944,48.56396,0.45924,1.64276
Albania,ALB,2011,YR2011,12890760273.00000,29.24154,51.97703,0.48072,1.76811
Albania,ALB,2012,YR2012,12319834233.00000,28.93749,47.57271,0.41911,1.56592
Albania,ALB,2013,YR2013,12776224537.00000,28.91632,46.95740,0.43812,1.65639
Albania,ALB,2014,YR2014,13228147516.00000,28.21300,47.19484,0.46572,1.79571
Albania,ALB,2015,YR2015,11386853143.00000,27.26739,44.53362,0.42128,1.66522
Albania,ALB,2016,YR2016,11861199831.00000,28.97790,45.83196,0.38873,1.59007
Albania,ALB,2017,YR2017,13019726212.00000,31.56980,46.62445,0.44250,1.88056
Albania,ALB,2018,YR2018,15156424062.00000,31.57195,45.23623,0.41851,1.85464
Albania,ALB,2019,YR2019,15401826081.00000,31.30427,44.97492,0.38506,1.74946
Albania,ALB,2020,YR2020,15162734205.00000,22.65779,37.17194,0.34955,1.54455
Argentina,ARG,1996,YR1996,272000000000.00000,10.42860,11.07787,0.33333,3.46279
Argentina,ARG,1997,YR1997,293000000000.00000,10.56085,12.77533,0.31731,3.52130
Argentina,ARG,1998,YR1998,299000000000.00000,10.41558,12.93445,0.32142,3.66156
Argentina,ARG,1999,YR1999,284000000000.00000,9.82717,11.55557,0.33727,3.66960
Argentina,ARG,2000,YR2000,284000000000.00000,10.98638,11.63607,0.33430,3.56792
Argentina,ARG,2001,YR2001,269000000000.00000,11.57901,10.27325,0.33119,3.34188
Argentina,ARG,2002,YR2002,97724004252.00000,28.38260,13.37013,0.34855,3.10049
Argentina,ARG,2003,YR2003,128000000000.00000,25.93094,14.71381,0.34804,3.33489
Argentina,ARG,2004,YR2004,165000000000.00000,23.84762,16.84503,0.35353,3.65608
Argentina,ARG,2005,YR2005,199000000000.00000,23.24588,17.30539,0.33539,3.73672
Argentina,ARG,2006,YR2006,233000000000.00000,23.02669,17.40679,0.32938,3.92426
Argentina,ARG,2007,YR2007,288000000000.00000,22.66275,18.28242,0.31758,4.08315
Argentina,ARG,2008,YR2008,362000000000.00000,22.06090,18.34177,0.31347,4.15238
Argentina,ARG,2009,YR2009,333000000000.00000,19.56099,14.49614,0.31194,3.84835
Argentina,ARG,2010,YR2010,424000000000.00000,18.93382,16.03719,0.30254,4.09984
Argentina,ARG,2011,YR2011,530000000000.00000,18.44921,16.75695,0.30148,4.28103
Argentina,ARG,2012,YR2012,546000000000.00000,16.23786,14.28868,0.30687,4.26411
Argentina,ARG,2013,YR2013,552000000000.00000,14.61717,14.71676,0.30858,4.34225
Argentina,ARG,2014,YR2014,526000000000.00000,14.40548,14.00132,0.31022,4.20911
Argentina,ARG,2015,YR2015,595000000000.00000,10.70565,11.78057,0.31198,4.30191
Argentina,ARG,2016,YR2016,558000000000.00000,12.52710,13.56679,0.31450,4.20182
Argentina,ARG,2017,YR2017,644000000000.00000,11.32028,13.96932,0.29938,4.07011
Argentina,ARG,2018,YR2018,525000000000.00000,14.43669,16.32585,0.30336,3.97565
Argentina,ARG,2019,YR2019,448000000000.00000,17.92488,14.70574,0.29427,3.74203
Argentina,ARG,2020,YR2020,386000000000.00000,16.61087,13.60893,0.30029,3.40562
Armenia,ARM,1996,YR1996,1596968946.00000,23.24000,55.98956,0.76022,0.75235
Armenia,ARM,1997,YR1997,1639492445.00000,20.27327,58.27448,0.98552,1.01616
Armenia,ARM,1998,YR1998,1893726437.00000,19.00302,52.83943,0.96494,1.07775
Armenia,ARM,1999,YR1999,1845482173.00000,20.75825,49.80223,0.82994,0.96786
Armenia,ARM,2000,YR2000,1911563669.00000,22.16142,50.07191,0.89937,1.12387
Armenia,ARM,2001,YR2001,2118467913.00000,24.14585,45.71841,0.83004,1.14965
Armenia,ARM,2002,YR2002,2376335048.00000,27.83211,46.15239,0.63487,1.00440
Armenia,ARM,2003,YR2003,2807061009.00000,30.48300,49.56837,0.62417,1.13336
Armenia,ARM,2004,YR2004,3576615240.00000,28.19074,44.87989,0.60823,1.22770
Armenia,ARM,2005,YR2005,4900469515.00000,27.31320,42.82654,0.63291,1.46391
Armenia,ARM,2006,YR2006,6384452071.00000,22.14598,38.88416,0.56266,1.48330
Armenia,ARM,2007,YR2007,9206301264.00000,18.18936,38.78569,0.57370,1.73226
Armenia,ARM,2008,YR2008,11662040704.00000,14.26573,40.27660,0.58628,1.90570
Armenia,ARM,2009,YR2009,8647937091.00000,14.67090,42.60334,0.54150,1.52171
Armenia,ARM,2010,YR2010,9260285762.00000,19.74842,44.89456,0.50938,1.47188
Armenia,ARM,2011,YR2011,10142111812.00000,22.52319,46.91239,0.55388,1.68561
Armenia,ARM,2012,YR2012,10619320693.00000,27.56181,48.39986,0.59825,1.96145
Armenia,ARM,2013,YR2013,11121464430.00000,28.35349,49.20156,0.55735,1.89616
Armenia,ARM,2014,YR2014,11609513241.00000,28.56038,47.21849,0.53579,1.89589
Armenia,ARM,2015,YR2015,10553337528.00000,29.72539,41.95668,0.50632,1.85625
Armenia,ARM,2016,YR2016,10546136240.00000,33.74428,42.33369,0.47915,1.76797
Armenia,ARM,2017,YR2017,11527458713.00000,38.21605,48.98633,0.47251,1.88340
Armenia,ARM,2018,YR2018,12457940705.00000,39.39289,53.08021,0.47766,2.01378
Armenia,ARM,2019,YR2019,13619290546.00000,41.35080,54.76335,0.48149,2.19655
Armenia,ARM,2020,YR2020,12641698594.00000,29.76499,39.72382,0.56499,2.40468
Australia,AUS,1996,YR1996,401000000000.00000,18.89161,19.34441,0.40749,16.47101
Australia,AUS,1997,YR1997,436000000000.00000,19.12875,18.85460,0.40207,16.70618
Australia,AUS,1998,YR1998,400000000000.00000,19.55823,20.43583,0.40901,17.60233
Australia,AUS,1999,YR1999,389000000000.00000,18.30708,20.74903,0.39700,17.73724
Australia,AUS,2000,YR2000,416000000000.00000,19.40528,21.56171,0.38868,17.83732
Australia,AUS,2001,YR2001,379000000000.00000,22.16818,22.08217,0.38784,17.93073
Australia,AUS,2002,YR2002,396000000000.00000,20.73796,20.73372,0.38126,18.12321
Australia,AUS,2003,YR2003,467000000000.00000,19.06704,21.15526,0.36932,17.89454
Australia,AUS,2004,YR2004,614000000000.00000,17.17179,19.85792,0.36768,18.36887
Australia,AUS,2005,YR2005,695000000000.00000,18.23454,20.94805,0.35903,18.27847
Australia,AUS,2006,YR2006,748000000000.00000,19.86707,21.72071,0.35447,18.29275
Australia,AUS,2007,YR2007,854000000000.00000,20.19721,21.83934,0.35094,18.45474
Australia,AUS,2008,YR2008,1060000000000.00000,20.15701,22.70706,0.34167,18.23929
Australia,AUS,2009,YR2009,929000000000.00000,23.01363,22.73312,0.34084,18.15720
Australia,AUS,2010,YR2010,1150000000000.00000,19.79928,20.72105,0.33529,17.97375
Australia,AUS,2011,YR2011,1400000000000.00000,21.43742,20.40513,0.32617,17.65606
Australia,AUS,2012,YR2012,1550000000000.00000,21.49934,21.66739,0.31492,17.40562
Australia,AUS,2013,YR2013,1580000000000.00000,19.98571,21.28919,0.30137,16.79459
Australia,AUS,2014,YR2014,1470000000000.00000,21.09637,21.37537,0.28686,16.15575
Australia,AUS,2015,YR2015,1350000000000.00000,20.06807,21.55504,0.28564,16.19846
Australia,AUS,2016,YR2016,1210000000000.00000,19.27226,21.55058,0.28455,16.32033
Australia,AUS,2017,YR2017,1330000000000.00000,21.23118,20.72016,0.27986,16.14809
Australia,AUS,2018,YR2018,1430000000000.00000,21.87340,21.51614,0.27127,15.86356
Australia,AUS,2019,YR2019,1390000000000.00000,24.15154,21.67519,0.26492,15.59573
Australia,AUS,2020,YR2020,1330000000000.00000,24.00828,20.22515,0.25419,14.77266
Austria,AUT,1996,YR1996,237000000000.00000,34.24928,35.83440,0.23611,8.15464
Austria,AUT,1997,YR1997,213000000000.00000,37.02808,37.83961,0.22885,8.06021
Austria,AUT,1998,YR1998,218000000000.00000,38.35102,38.57613,0.22248,8.10766
Austria,AUT,1999,YR1999,217000000000.00000,39.35704,38.90310,0.20946,7.88946
Austria,AUT,2000,YR2000,197000000000.00000,43.34627,42.01422,0.20418,7.93086
Austria,AUT,2001,YR2001,198000000000.00000,44.61756,42.91911,0.21551,8.44466
Austria,AUT,2002,YR2002,214000000000.00000,45.31939,41.62878,0.21656,8.58384
Austria,AUT,2003,YR2003,262000000000.00000,44.57041,41.81697,0.23030,9.16932
Austria,AUT,2004,YR2004,301000000000.00000,46.86721,43.92513,0.22818,9.27587
Austria,AUT,2005,YR2005,316000000000.00000,48.61975,45.41405,0.22447,9.26641
Austria,AUT,2006,YR2006,336000000000.00000,50.84167,47.24664,0.21089,8.96210
Austria,AUT,2007,YR2007,389000000000.00000,52.56087,48.17238,0.19548,8.58877
Austria,AUT,2008,YR2008,432000000000.00000,53.24886,48.82482,0.19127,8.50024
Austria,AUT,2009,YR2009,402000000000.00000,45.20742,41.85481,0.18101,7.72123
Austria,AUT,2010,YR2010,392000000000.00000,51.26216,47.75764,0.19305,8.36562
Austria,AUT,2011,YR2011,432000000000.00000,53.94867,51.15412,0.18304,8.13619
Austria,AUT,2012,YR2012,409000000000.00000,53.97368,51.17850,0.17338,7.72385
Austria,AUT,2013,YR2013,430000000000.00000,53.44129,50.62512,0.17504,7.75402
Austria,AUT,2014,YR2014,443000000000.00000,53.38658,50.11696,0.16411,7.26093
Austria,AUT,2015,YR2015,382000000000.00000,53.08906,49.33825,0.16560,7.31886
Austria,AUT,2016,YR2016,396000000000.00000,52.40639,48.57568,0.16351,7.29078
Austria,AUT,2017,YR2017,417000000000.00000,54.05115,50.88769,0.16534,7.48704
Austria,AUT,2018,YR2018,455000000000.00000,55.46222,52.46142,0.15472,7.14114
Austria,AUT,2019,YR2019,445000000000.00000,55.75721,52.12879,0.15571,7.26333
Austria,AUT,2020,YR2020,435000000000.00000,51.61281,48.61082,0.15263,6.63265
Belarus,BLR,1996,YR1996,14756846154.00000,46.34980,50.42510,2.95683,5.75355
Belarus,BLR,1997,YR1997,14128408566.00000,59.85988,65.65630,2.67999,5.83354
Belarus,BLR,1998,YR1998,15222012660.00000,59.05113,63.90657,2.39614,5.67932
Belarus,BLR,1999,YR1999,12138486532.00000,59.20334,61.63178,2.22644,5.48113
Belarus,BLR,2000,YR2000,12736856828.00000,69.21082,72.39834,2.02817,5.30757
Belarus,BLR,2001,YR2001,12354820144.00000,66.74761,70.29732,1.89105,5.20924
Belarus,BLR,2002,YR2002,14594928109.00000,63.62752,67.37454,1.80136,5.24582
Belarus,BLR,2003,YR2003,17825437483.00000,65.15638,68.98547,1.70797,5.36156
Belarus,BLR,2004,YR2004,23141593074.00000,67.88633,74.25018,1.62667,5.72997
Belarus,BLR,2005,YR2005,30210091837.00000,59.79781,59.08654,1.50587,5.84283
Belarus,BLR,2006,YR2006,36961822468.00000,60.06131,64.23379,1.42545,6.12125
Belarus,BLR,2007,YR2007,45275747157.00000,60.94305,67.21083,1.27981,5.99594
Belarus,BLR,2008,YR2008,60752177439.00000,60.93776,68.66172,1.22020,6.32156
Belarus,BLR,2009,YR2009,50873181572.00000,48.87646,59.75918,1.15601,6.01576
Belarus,BLR,2010,YR2010,57231904543.00000,51.37289,64.54509,1.15240,6.47878
Belarus,BLR,2011,YR2011,61762340943.00000,78.46536,79.50889,1.03809,6.16445
Belarus,BLR,2012,YR2012,65685903570.00000,78.77691,74.30836,1.04559,6.32363
Belarus,BLR,2013,YR2013,75527537703.00000,58.33358,61.48239,1.03785,6.34225
Belarus,BLR,2014,YR2014,78812785768.00000,54.94111,55.71054,1.01241,6.29007
Belarus,BLR,2015,YR2015,56454895055.00000,58.01023,57.90346,0.97195,5.79969
Belarus,BLR,2016,YR2016,47723549319.00000,62.50935,62.69998,1.00313,5.82946
Belarus,BLR,2017,YR2017,54725311690.00000,66.78992,66.57809,0.99690,5.94641
Belarus,BLR,2018,YR2018,60031163987.00000,70.45455,68.93885,1.01843,6.27958
Belarus,BLR,2019,YR2019,64410112583.00000,65.09441,65.75572,0.97697,6.12343
Belarus,BLR,2020,YR2020,61371755326.00000,61.01215,57.92173,0.93448,5.84241
Belgium,BEL,1996,YR1996,279000000000.00000,61.19239,58.02038,0.37121,11.76063
Belgium,BEL,1997,YR1997,253000000000.00000,64.78658,60.90236,0.34922,11.45584
Belgium,BEL,1998,YR1998,259000000000.00000,64.17435,60.53478,0.35066,11.70369
Belgium,BEL,1999,YR1999,258000000000.00000,64.56306,60.60693,0.32760,11.29569
Belgium,BEL,2000,YR2000,237000000000.00000,72.54740,69.68274,0.32068,11.44003
Belgium,BEL,2001,YR2001,237000000000.00000,71.61196,67.96488,0.32007,11.50430
Belgium,BEL,2002,YR2002,258000000000.00000,70.83130,65.25385,0.29478,10.72801
Belgium,BEL,2003,YR2003,318000000000.00000,69.03651,63.67904,0.30400,11.13152
Belgium,BEL,2004,YR2004,369000000000.00000,70.90628,66.01213,0.28805,10.87701
Belgium,BEL,2005,YR2005,386000000000.00000,74.28283,70.24622,0.27557,10.58920
Belgium,BEL,2006,YR2006,408000000000.00000,76.80500,72.76251,0.26174,10.24668
Belgium,BEL,2007,YR2007,471000000000.00000,78.30180,74.16664,0.24271,9.77873
Belgium,BEL,2008,YR2008,517000000000.00000,80.88062,80.20783,0.24816,9.96411
Belgium,BEL,2009,YR2009,483000000000.00000,68.83400,66.57204,0.23711,9.25341
Belgium,BEL,2010,YR2010,481000000000.00000,75.85006,74.14761,0.24659,9.80882
Belgium,BEL,2011,YR2011,523000000000.00000,80.69736,80.79636,0.21892,8.74125
Belgium,BEL,2012,YR2012,496000000000.00000,80.40449,80.34154,0.21458,8.57803
Belgium,BEL,2013,YR2013,522000000000.00000,79.32435,78.52650,0.21646,8.65195
Belgium,BEL,2014,YR2014,535000000000.00000,79.80101,78.98221,0.19944,8.06155
Belgium,BEL,2015,YR2015,462000000000.00000,77.80528,76.38726,0.20569,8.43484
Belgium,BEL,2016,YR2016,476000000000.00000,79.42962,78.23541,0.20114,8.31066
Belgium,BEL,2017,YR2017,503000000000.00000,83.18241,82.14343,0.19460,8.13944
Belgium,BEL,2018,YR2018,543000000000.00000,83.07963,83.41516,0.19311,8.18437
Belgium,BEL,2019,YR2019,536000000000.00000,82.39720,81.76905,0.18776,8.09379
Belgium,BEL,2020,YR2020,525000000000.00000,79.44655,77.73380,0.18213,7.39813
Bolivia,BOL,1996,YR1996,7396948398.00000,22.58187,27.27442,0.54539,1.04279
Bolivia,BOL,1997,YR1997,7925736319.00000,21.11060,29.35906,0.57298,1.12887
Bolivia,BOL,1998,YR1998,8497494138.00000,19.69868,32.58248,0.51836,1.05330
Bolivia,BOL,1999,YR1999,8285063959.00000,16.88090,27.28736,0.48994,0.98177
Bolivia,BOL,2000,YR2000,8397855937.00000,18.27474,27.32303,0.46774,0.94361
Bolivia,BOL,2001,YR2001,8141517339.00000,19.97215,25.25567,0.44324,0.89330
Bolivia,BOL,2002,YR2002,7905485146.00000,21.63446,27.71581,0.46164,0.93696
Bolivia,BOL,2003,YR2003,8082399991.00000,25.60073,26.36710,0.47852,0.98027
Bolivia,BOL,2004,YR2004,8773451752.00000,31.13839,26.32588,0.48541,1.01802
Bolivia,BOL,2005,YR2005,9549122313.00000,35.54814,32.09380,0.48966,1.05392
Bolivia,BOL,2006,YR2006,11451845379.00000,41.77171,32.76613,0.50657,1.12284
Bolivia,BOL,2007,YR2007,13120107739.00000,41.79566,34.26625,0.53838,1.22617
Bolivia,BOL,2008,YR2008,16674276979.00000,44.90656,37.96046,0.54241,1.28881
Bolivia,BOL,2009,YR2009,17339992194.00000,35.72262,32.90445,0.55925,1.35011
Bolivia,BOL,2010,YR2010,19649724656.00000,41.18746,34.32417,0.58188,1.43811
Bolivia,BOL,2011,YR2011,23963162969.00000,44.09170,38.38869,0.60161,1.53822
Bolivia,BOL,2012,YR2012,27084497482.00000,47.16620,37.78256,0.60699,1.60468
Bolivia,BOL,2013,YR2013,30659338886.00000,44.09248,37.13843,0.60733,1.68699
Bolivia,BOL,2014,YR2014,32996188017.00000,43.29309,41.97138,0.61892,1.78422
Bolivia,BOL,2015,YR2015,33000198249.00000,30.86830,37.06455,0.60614,1.80367
Bolivia,BOL,2016,YR2016,33941126194.00000,24.48801,31.91303,0.61989,1.89369
Bolivia,BOL,2017,YR2017,37508642171.00000,24.90414,31.80051,0.60328,1.89132
Bolivia,BOL,2018,YR2018,40287647931.00000,25.98880,31.12117,0.58561,1.88519
Bolivia,BOL,2019,YR2019,40895322851.00000,24.96726,31.43004,0.57154,1.85346
Bolivia,BOL,2020,YR2020,36629843806.00000,20.27259,25.23067,0.52718,1.53946
Bosnia,BIH,1996,YR1996,2786045322.00000,23.61771,83.88234,0.75317,1.07172
Bosnia,BIH,1997,YR1997,3671910026.00000,27.83363,72.79733,1.13653,2.09820
Bosnia,BIH,1998,YR1998,4116775275.00000,27.30320,98.36341,1.24567,2.61496
Bosnia,BIH,1999,YR1999,4686255381.00000,27.64395,94.17659,1.11072,2.53216
Bosnia,BIH,2000,YR2000,5567774049.00000,21.88382,63.47392,1.30710,3.33906
Bosnia,BIH,2001,YR2001,5800616572.00000,22.06872,63.96701,1.25867,3.28103
Bosnia,BIH,2002,YR2002,6728219507.00000,19.12601,59.60147,1.26740,3.46703
Bosnia,BIH,2003,YR2003,8498893358.00000,20.58799,59.98147,1.24666,3.55456
Bosnia,BIH,2004,YR2004,10156541358.00000,22.53624,59.27644,1.22771,3.75868
Bosnia,BIH,2005,YR2005,11222796197.00000,24.31642,60.03904,1.23126,3.96293
Bosnia,BIH,2006,YR2006,12864842269.00000,26.25835,53.57160,1.28931,4.41346
Bosnia,BIH,2007,YR2007,15778737117.00000,27.10156,56.45030,1.28450,4.71285
Bosnia,BIH,2008,YR2008,19112801197.00000,26.84807,59.31481,1.33896,5.26481
Bosnia,BIH,2009,YR2009,17613946109.00000,25.00938,48.73812,1.36903,5.30970
Bosnia,BIH,2010,YR2010,17176320823.00000,29.69554,51.27267,1.37395,5.46891
Bosnia,BIH,2011,YR2011,18644239028.00000,32.03597,55.80038,1.54996,6.34178
Bosnia,BIH,2012,YR2012,17226736285.00000,32.35054,55.79457,1.44575,5.97658
Bosnia,BIH,2013,YR2013,18179104549.00000,33.74305,54.18819,1.40533,6.03938
Bosnia,BIH,2014,YR2014,18558731213.00000,33.98912,56.56316,1.24043,5.46246
Bosnia,BIH,2015,YR2015,16404352156.00000,35.11488,53.17711,1.19657,5.56958
Bosnia,BIH,2016,YR2016,17116926092.00000,35.90871,52.33533,1.32005,6.42249
Bosnia,BIH,2017,YR2017,18326376394.00000,40.32441,56.32147,1.29779,6.59666
Bosnia,BIH,2018,YR2018,20484048416.00000,41.98456,56.44753,1.24571,6.65145
Bosnia,BIH,2019,YR2019,20482603346.00000,40.04007,54.47606,1.13091,6.28566
Bosnia,BIH,2020,YR2020,20226030731.00000,34.18149,47.92977,1.15627,6.31231
Brazil,BRA,1996,YR1996,850000000000.00000,6.73021,8.90538,0.24065,1.58045
Brazil,BRA,1997,YR1997,883000000000.00000,6.98365,9.59256,0.24953,1.66918
Brazil,BRA,1998,YR1998,864000000000.00000,7.03050,9.40808,0.25687,1.69894
Brazil,BRA,1999,YR1999,600000000000.00000,9.56490,11.41727,0.26480,1.73477
Brazil,BRA,2000,YR2000,655000000000.00000,10.18805,12.45171,0.26438,1.78350
Brazil,BRA,2001,YR2001,560000000000.00000,12.37171,14.56457,0.26550,1.79211
Brazil,BRA,2002,YR2002,510000000000.00000,14.23059,13.38777,0.25633,1.76065
Brazil,BRA,2003,YR2003,558000000000.00000,15.18078,12.95960,0.24790,1.70185
Brazil,BRA,2004,YR2004,669000000000.00000,16.54576,13.13249,0.24775,1.77844
Brazil,BRA,2005,YR2005,892000000000.00000,15.24383,11.84297,0.24238,1.77566
Brazil,BRA,2006,YR2006,1110000000000.00000,14.37432,11.66738,0.23591,1.77748
Brazil,BRA,2007,YR2007,1400000000000.00000,13.32768,11.96494,0.23363,1.84798
Brazil,BRA,2008,YR2008,1700000000000.00000,13.53400,13.72357,0.23560,1.93922
Brazil,BRA,2009,YR2009,1670000000000.00000,10.85137,11.25460,0.22097,1.79933
Brazil,BRA,2010,YR2010,2210000000000.00000,10.86558,11.90659,0.23364,2.02661
Brazil,BRA,2011,YR2011,2620000000000.00000,11.58251,12.35189,0.23621,2.11063
Brazil,BRA,2012,YR2012,2470000000000.00000,11.87754,13.23673,0.25167,2.27142
Brazil,BRA,2013,YR2013,2470000000000.00000,11.74223,14.04373,0.26187,2.41345
Brazil,BRA,2014,YR2014,2460000000000.00000,11.01194,13.67346,0.27382,2.51459
Brazil,BRA,2015,YR2015,1800000000000.00000,12.90019,14.05343,0.26930,2.36536
Brazil,BRA,2016,YR2016,1800000000000.00000,12.46668,12.06700,0.25647,2.16126
Brazil,BRA,2017,YR2017,2060000000000.00000,12.51897,11.80077,0.25800,2.18549
Brazil,BRA,2018,YR2018,1920000000000.00000,14.63500,14.24120,0.24133,2.06426
Brazil,BRA,2019,YR2019,1870000000000.00000,14.12292,14.76734,0.23868,2.05077
Brazil,BRA,2020,YR2020,1480000000000.00000,16.45355,15.84853,0.23530,1.94252
Bulgaria,BGR,1996,YR1996,12294987876.00000,48.49705,37.32374,1.55347,6.61280
Bulgaria,BGR,1997,YR1997,11316126258.00000,49.57619,36.88755,1.73332,6.37562
Bulgaria,BGR,1998,YR1998,15031052201.00000,41.94135,35.10386,1.59072,6.11346
Bulgaria,BGR,1999,YR1999,13627325461.00000,42.74979,47.32517,1.52476,5.39813
Bulgaria,BGR,2000,YR2000,13245990274.00000,36.21886,41.52685,1.42825,5.31459
Bulgaria,BGR,2001,YR2001,14183443862.00000,34.88132,44.20005,1.46323,5.76661
Bulgaria,BGR,2002,YR2002,16403043850.00000,33.64730,41.62231,1.30470,5.56323
Bulgaria,BGR,2003,YR2003,21144962058.00000,34.41695,44.59694,1.36299,6.16480
Bulgaria,BGR,2004,YR2004,26157744753.00000,40.95664,52.10726,1.26186,6.12499
Bulgaria,BGR,2005,YR2005,29868651533.00000,42.52957,57.18465,1.19664,6.26528
Bulgaria,BGR,2006,YR2006,34380543845.00000,46.97788,64.06958,1.14305,6.44055
Bulgaria,BGR,2007,YR2007,44432811756.00000,52.35503,71.17752,1.15219,6.97102
Bulgaria,BGR,2008,YR2008,54480697770.00000,52.47766,72.21109,1.03295,6.67853
Bulgaria,BGR,2009,YR2009,52023813558.00000,42.21885,50.47380,0.91569,5.76374
Bulgaria,BGR,2010,YR2010,50754203891.00000,50.10764,53.30395,0.94031,6.04962
Bulgaria,BGR,2011,YR2011,57735709914.00000,58.80295,58.65334,1.02176,6.75495
Bulgaria,BGR,2012,YR2012,54290156342.00000,60.35374,63.63982,0.91983,6.16258
Bulgaria,BGR,2013,YR2013,55844245264.00000,64.58170,65.15096,0.81484,5.45906
Bulgaria,BGR,2014,YR2014,57159557805.00000,64.60089,65.68640,0.85575,5.82153
Bulgaria,BGR,2015,YR2015,50828088836.00000,63.80009,62.90086,0.87661,6.20738
Bulgaria,BGR,2016,YR2016,53987487124.00000,63.87048,58.96334,0.79405,5.83442
Bulgaria,BGR,2017,YR2017,59343060706.00000,66.99460,62.68200,0.81541,6.20201
Bulgaria,BGR,2018,YR2018,66399602077.00000,65.69585,63.15581,0.74004,5.82178
Bulgaria,BGR,2019,YR2019,68911930628.00000,63.93392,60.70568,0.68108,5.61371
Bulgaria,BGR,2020,YR2020,70404359049.00000,56.12090,54.16093,0.61822,4.92328
Canada,CAN,1996,YR1996,631000000000.00000,37.09844,33.16163,0.47545,15.59261
Canada,CAN,1997,YR1997,655000000000.00000,38.13297,36.20364,0.47086,15.94385
Canada,CAN,1998,YR1998,634000000000.00000,40.02917,38.05201,0.46078,16.07657
Canada,CAN,1999,YR1999,678000000000.00000,41.86119,38.25384,0.44674,16.25847
Canada,CAN,2000,YR2000,745000000000.00000,44.20924,38.55612,0.44188,16.75747
Canada,CAN,2001,YR2001,739000000000.00000,42.03996,36.30426,0.42769,16.33144
Canada,CAN,2002,YR2002,761000000000.00000,40.05866,35.64837,0.42970,16.72041
Canada,CAN,2003,YR2003,896000000000.00000,36.86599,32.97411,0.43834,17.20836
Canada,CAN,2004,YR2004,1030000000000.00000,37.32777,32.86465,0.41887,16.79419
Canada,CAN,2005,YR2005,1170000000000.00000,36.85671,32.90243,0.41541,17.02757
Canada,CAN,2006,YR2006,1320000000000.00000,35.40246,32.64971,0.39848,16.59521
Canada,CAN,2007,YR2007,1470000000000.00000,34.22956,32.05386,0.41286,17.38063
Canada,CAN,2008,YR2008,1550000000000.00000,34.39501,32.62860,0.39368,16.55943
Canada,CAN,2009,YR2009,1370000000000.00000,28.51583,29.95856,0.38407,15.50451
Canada,CAN,2010,YR2010,1620000000000.00000,29.16738,31.04074,0.38377,15.79454
Canada,CAN,2011,YR2011,1790000000000.00000,30.67839,31.82035,0.38057,15.99827
Canada,CAN,2012,YR2012,1830000000000.00000,30.35303,32.24252,0.37189,15.73682
Canada,CAN,2013,YR2013,1850000000000.00000,30.33194,31.89914,0.36971,15.84081
Canada,CAN,2014,YR2014,1810000000000.00000,31.73658,32.64209,0.36329,15.85218
Canada,CAN,2015,YR2015,1560000000000.00000,31.84996,34.31494,0.35897,15.64991
Canada,CAN,2016,YR2016,1530000000000.00000,31.50257,33.86111,0.35422,15.42182
Canada,CAN,2017,YR2017,1650000000000.00000,31.45441,33.64665,0.35075,15.54719
Canada,CAN,2018,YR2018,1730000000000.00000,32.32540,34.27448,0.34812,15.63665
Canada,CAN,2019,YR2019,1740000000000.00000,32.35270,33.81879,0.33367,15.05275
Canada,CAN,2020,YR2020,1650000000000.00000,29.68085,31.92108,0.32099,13.59937
Chile,CHL,1996,YR1996,78575020639.00000,25.95045,27.97030,0.40058,3.07183
Chile,CHL,1997,YR1997,85728899954.00000,25.87800,28.22129,0.42609,3.46304
Chile,CHL,1998,YR1998,81995749804.00000,25.14358,28.69260,0.41480,3.46833
Chile,CHL,1999,YR1999,75596598517.00000,28.30911,26.38650,0.43526,3.58651
Chile,CHL,2000,YR2000,78249883996.00000,30.12375,28.58817,0.38413,3.28460
Chile,CHL,2001,YR2001,71517267768.00000,31.84731,30.29746,0.35762,3.11937
Chile,CHL,2002,YR2002,70295232513.00000,32.25722,30.22663,0.35150,3.12999
Chile,CHL,2003,YR2003,76507853876.00000,35.06097,30.63245,0.34303,3.16541
Chile,CHL,2004,YR2004,99079365628.00000,39.68575,30.20361,0.35213,3.43190
